protein_metrics_collection,valid_loss,time,iteration,lr,epoch,train_loss,best_valid_loss,save,hours
,0.1294485,113.38977,31.0,0.01,1.0,0.13192903,0.1294485,True,0.031497157878345915
,0.12294838,224.77629,61.0,0.01,2.0,0.12694585,0.12294838,True,0.03094070076942444
,0.12253363,336.0719,91.0,0.01,3.0,0.123292364,0.12253363,True,0.030915441579288907
,0.12012019,447.57867,121.0,0.01,4.0,0.121789515,0.12012019,True,0.030974100165896946
,0.12219316,559.39764,151.0,0.01,5.0,0.121562704,0.12012019,False,0.031060825387636822
,0.120405085,671.1673,181.0,0.01,6.0,0.12127918,0.12012019,False,0.031047118637296887
,0.12063885,782.88306,211.0,0.01,7.0,0.12087779,0.12012019,False,0.031032159328460693
,0.121229805,894.71655,241.0,0.01,8.0,0.120658785,0.12012019,False,0.03106488029162089
,0.12007141,1006.44977,271.0,0.01,9.0,0.12080371,0.12007141,True,0.031037009888225133
,0.12021608,1117.9873,301.0,0.01,10.0,0.12038816,0.12007141,False,0.03098266435994042
,0.1192279,1228.345,331.0,0.01,11.0,0.12030516,0.1192279,True,0.030654901531007556
,0.11961457,1335.8844,361.0,0.01,12.0,0.12011738,0.1192279,False,0.029872064524226718
,0.12156147,1443.5659,391.0,0.01,13.0,0.12038749,0.1192279,False,0.02991154240237342
,0.11979153,1551.1592,421.0,0.01,14.0,0.120450646,0.1192279,False,0.029887014230092365
,0.11982441,1658.8773,451.0,0.01,15.0,0.12009767,0.1192279,False,0.029921690689192877
,0.11977452,1766.5999,481.0,0.01,16.0,0.11996353,0.1192279,False,0.029922907021310594
,0.11974753,1874.3237,511.0,0.007,17.0,0.1199058,0.1192279,False,0.02992331067721049
,0.12018532,1982.0812,541.0,0.007,18.0,0.11986996,0.1192279,False,0.02993262489636739
,0.11944957,2089.849,571.0,0.007,19.0,0.11951209,0.1192279,False,0.02993552499347263
,0.11949835,2197.9521,601.0,0.007,20.0,0.119340055,0.1192279,False,0.030028637250264487
,0.11948888,2305.8962,631.0,0.007,21.0,0.11927426,0.1192279,False,0.029984444446033903
,0.119261906,2413.6145,661.0,0.007,22.0,0.11926808,0.1192279,False,0.029921712676684063
,0.11918372,2525.4617,691.0,0.007,23.0,0.11923794,0.11918372,True,0.031068654391500684
,0.119033754,2637.013,721.0,0.007,24.0,0.11916023,0.119033754,True,0.030986513098080953
,0.11887066,2748.6501,751.0,0.007,25.0,0.11901394,0.11887066,True,0.031010360850228205
,0.11771667,2860.5325,781.0,0.007,26.0,0.118719585,0.11771667,True,0.03107843862639533
,0.11554609,2973.1208,811.0,0.007,27.0,0.11737449,0.11554609,True,0.0312745816177792
,0.11584787,3085.1738,841.0,0.007,28.0,0.11669094,0.11554609,False,0.031125855644543964
,0.116178095,3198.399,871.0,0.007,29.0,0.11632674,0.11554609,False,0.03145144383112589
,0.11546865,3310.629,901.0,0.007,30.0,0.11664132,0.11546865,True,0.031174992322921754
,0.11525511,3423.7656,931.0,0.007,31.0,0.11581668,0.11525511,True,0.03142687837282816
,0.1145561,3536.061,961.0,0.007,32.0,0.11635388,0.1145561,True,0.03119302233060201
,0.11415121,3649.0876,991.0,0.0049,33.0,0.11627922,0.11415121,True,0.031396259334352285
,0.114714354,3761.3225,1021.0,0.0049,34.0,0.11534311,0.11415121,False,0.03117634137471517
,0.1141821,3874.3052,1051.0,0.0049,35.0,0.1154052,0.11415121,False,0.03138409879472521
,0.11416547,3986.8303,1081.0,0.0049,36.0,0.115155295,0.11415121,False,0.031256965465015836
,0.1138507,4099.9673,1111.0,0.0049,37.0,0.11503086,0.1138507,True,0.03142687075667911
,0.11386351,4212.5596,1141.0,0.0049,38.0,0.11492666,0.1138507,False,0.03127569728427463
,0.1141077,4325.7144,1171.0,0.0049,39.0,0.114714526,0.1138507,False,0.03143185920185513
,0.11387035,4438.1514,1201.0,0.0049,40.0,0.11467584,0.1138507,False,0.03123247113492754
,0.11388373,4548.674,1231.0,0.0049,41.0,0.11461256,0.1138507,False,0.0307006659772661
,0.113598086,4657.467,1261.0,0.0049,42.0,0.11471962,0.113598086,True,0.030220238632626004
,0.113586105,4766.689,1291.0,0.0049,43.0,0.11459907,0.113586105,True,0.03033947745958964
,0.11370233,4875.4595,1321.0,0.0049,44.0,0.11445617,0.113586105,False,0.030213969217406378
,0.11374471,4984.68,1351.0,0.0049,45.0,0.11444082,0.113586105,False,0.030339020358191596
,0.114390135,5093.274,1381.0,0.0049,46.0,0.114445925,0.113586105,False,0.030164870354864332
,0.11446251,5202.3335,1411.0,0.0049,47.0,0.11450366,0.113586105,False,0.030294364690780638
,0.114135064,5310.875,1441.0,0.0049,48.0,0.11456762,0.113586105,False,0.030150671468840706
,0.1141416,5419.98,1471.0,0.00343,49.0,0.114527814,0.113586105,False,0.030306873785124883
,0.113297835,5528.751,1501.0,0.00343,50.0,0.1142339,0.113297835,True,0.03021416895919376
,0.113170415,5637.9834,1531.0,0.00343,51.0,0.11364798,0.113170415,True,0.03034235053592258
,0.11315644,5748.861,1561.0,0.00343,52.0,0.11346032,0.11315644,True,0.030799343122376335
,0.11316372,5861.9956,1591.0,0.00343,53.0,0.11339813,0.11315644,False,0.031426312393612335
,0.11318356,5974.5283,1621.0,0.00343,54.0,0.113342404,0.11315644,False,0.03125903599792056
,0.11316946,6087.4976,1651.0,0.00343,55.0,0.11331768,0.11315644,False,0.031380400723881194
,0.11324434,6199.872,1681.0,0.00343,56.0,0.11330451,0.11315644,False,0.03121520969602797
,0.11319652,6312.8584,1711.0,0.00343,57.0,0.11328486,0.11315644,False,0.03138506187333001
,0.11318319,6425.408,1741.0,0.00343,58.0,0.113247134,0.11315644,False,0.03126386205355326
,0.11312362,6538.465,1771.0,0.00343,59.0,0.11319562,0.11312362,True,0.0314046194156011
,0.11317994,6650.956,1801.0,0.00343,60.0,0.1131196,0.11312362,False,0.031247543295224507
,0.11320657,6764.151,1831.0,0.00343,61.0,0.11306191,0.11312362,False,0.03144304189417097
,0.11321235,6876.8633,1861.0,0.00343,62.0,0.112993635,0.11312362,False,0.03130898985597822
,0.11324253,6990.017,1891.0,0.00343,63.0,0.112933695,0.11312362,False,0.03143162680996789
,0.113257214,7102.4463,1921.0,0.00343,64.0,0.11289528,0.11312362,False,0.031230368547969393
