epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.922723122587,89.7955476793,89.7955476793,0.349711,0.389489,True
1,1796,0.921894413784,85.3178916507,89.7955476793,0.347326,0.388563,False
2,2694,0.922223343091,82.6926020308,89.7955476793,0.346885,0.386521,False
3,3592,0.92224716635,82.0521173955,89.7955476793,0.34713,0.385537,False
4,4490,0.922572120574,87.7307061776,89.7955476793,0.346145,0.387341,False
5,5388,0.922311809369,92.5962339257,92.5962339257,0.34661,0.385348,True
6,6286,0.922384391584,88.0501200211,92.5962339257,0.346496,0.384754,False
7,7184,0.922531528532,90.0164871626,92.5962339257,0.34702,0.385055,False
8,8082,0.922506940151,89.9467760339,92.5962339257,0.347197,0.386199,False
9,8980,0.921078549806,86.5661220442,92.5962339257,0.349997,0.386015,False
10,9878,0.921649471252,70.88965867,92.5962339257,0.350057,0.386371,False
11,10776,0.922105745437,84.3326695722,92.5962339257,0.347161,0.385802,False
12,11674,0.920482686145,63.5913124606,92.5962339257,0.35111,0.386167,False
13,12572,0.922568290553,83.5846547278,92.5962339257,0.348976,0.385222,False
14,13470,0.922091407055,80.3546669461,92.5962339257,0.349675,0.385386,False
15,14368,0.922920416848,85.2183173801,92.5962339257,0.34687,0.383452,False
16,15266,0.922729159036,83.9365814791,92.5962339257,0.346196,0.381521,False
17,16164,0.922385961894,88.1241096917,92.5962339257,0.346689,0.382516,False
18,17062,0.921514983482,88.6751764604,92.5962339257,0.348209,0.383377,False
19,17960,0.92269348186,94.2968846915,94.2968846915,0.345541,0.378987,True
