model,roc_auc,inv_fpr
15-48-01,0.921561749019,94.0300705505
15-48-31,0.922387009706,91.2360306837
15-49-01,0.92351499964,104.301759739
15-49-32,0.921874435024,96.3563060223
11-31-54_0,0.921139502154,86.4171147525
11-32-24_0,0.920542722843,87.9622583775
11-32-54_0,0.916923164672,81.4964014654
11-33-25_0,0.919353344982,88.7145196701
15-33-46_0,0.911291315182,64.0149682786
15-34-02_0,0.921045285466,86.7766869042
15-35-32_0,0.922765071747,89.5822186874
15-49-51_0,0.922415388472,98.2079942576
15-49-31_0,0.923589231957,105.000196513
15-13-59_0,0.916807117739,81.4326705326
15-13-43_0,0.909128384237,61.1767841139
15-14-12_0,0.918755179644,87.0179809417
15-23-06_0,0.915112586918,76.7441569012
15-23-13_0,0.911167396862,68.4538372617
15-23-23_0,0.913615797615,71.6376717016
15-11-55_0,0.919612202433,88.500873693
15-29-54_0,0.91142911765,61.2398189671
15-29-45_0,0.905116797919,53.5849870029
16-39-38_0,0.921834825094,87.0434776505
16-39-58_0,0.918511362719,87.8415532943
16-40-12_0,0.911904252922,67.3574926196
16-39-48_0,0.921354889658,104.57656215
15-12-07_0,0.920547249405,85.8514265687
15-13-22_0,0.919253076486,86.4122678959
12-42-51_0,0.921779232202,98.6199513803
12-43-01_0,0.922333814679,95.1026700299
12-43-43_0,0.922621836698,104.159923866
