epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.847216027284,15.3168544406,15.3168544406,0.502392,0.539297,True
1,1796,0.871457694488,18.6702203806,18.6702203806,0.471021,0.501648,True
2,2694,0.878869593219,20.3585279368,20.3585279368,0.441933,0.492217,True
3,3592,0.86448733459,16.6893274743,20.3585279368,0.475256,0.553806,False
4,4490,0.889163255058,23.427316456,23.427316456,0.427716,0.463547,True
5,5388,0.867184468381,20.1271612001,23.427316456,0.458968,0.531781,False
6,6286,0.895623874819,29.8373557832,29.8373557832,0.406631,0.456518,True
7,7184,0.898573023409,32.5463945987,32.5463945987,0.413647,0.450833,True
8,8082,0.905029803581,40.6537023417,40.6537023417,0.387317,0.451048,True
9,8980,0.907100663624,40.683414673,40.683414673,0.398875,0.440233,True
10,9878,0.902164449764,35.433984354,40.683414673,0.427367,0.4645,False
11,10776,0.901318323275,42.7136903862,42.7136903862,0.391732,0.449818,True
12,11674,0.907960556001,50.5463334938,50.5463334938,0.376579,0.434618,True
13,12572,0.910435703775,50.2689205113,50.5463334938,0.375101,0.436333,False
14,13470,0.910964566228,52.0304913179,52.0304913179,0.386026,0.430474,True
15,14368,0.913142398435,56.0695270168,56.0695270168,0.36737,0.424186,True
16,15266,0.912579166872,51.6891402061,56.0695270168,0.376125,0.416948,False
17,16164,0.912363495046,50.071811428,56.0695270168,0.371104,0.428733,False
18,17062,0.905552314976,45.5676369206,56.0695270168,0.416918,0.442461,False
19,17960,0.908657714524,43.3028586479,56.0695270168,0.387575,0.429218,False
20,18858,0.910455178404,48.8905460194,56.0695270168,0.375821,0.433417,False
21,19756,0.911458123106,46.9387566624,56.0695270168,0.374882,0.423018,False
22,20654,0.910936611343,51.8676774108,56.0695270168,0.385748,0.425869,False
23,21552,0.911049423158,51.5237668881,56.0695270168,0.382496,0.434212,False
24,22450,0.912238994663,43.5989775114,56.0695270168,0.376474,0.41543,False
25,23348,0.913885733315,52.4315562762,56.0695270168,0.384224,0.418658,False
26,24246,0.916370687064,62.8889856226,62.8889856226,0.360984,0.408477,True
27,25144,0.916516880038,56.6042726759,62.8889856226,0.361598,0.408083,False
28,26042,0.913848351483,59.0367976544,62.8889856226,0.368315,0.410701,False
29,26940,0.916702330854,62.2298144935,62.8889856226,0.359606,0.411763,False
30,27838,0.912635588313,51.7817444313,62.8889856226,0.374486,0.428034,False
31,28736,0.916549348317,72.6931865261,72.6931865261,0.365302,0.419484,True
32,29634,0.915958140415,62.9102518051,72.6931865261,0.368105,0.406827,False
33,30532,0.917209820747,59.7860837964,72.6931865261,0.35876,0.407798,False
34,31430,0.918011130215,66.5127930168,72.6931865261,0.35691,0.406527,False
35,32328,0.912504506895,55.6429214803,72.6931865261,0.372789,0.412976,False
36,33226,0.916888866228,58.3299606737,72.6931865261,0.361242,0.413542,False
37,34124,0.916837977817,68.6793128777,72.6931865261,0.369625,0.408162,False
38,35022,0.915232876417,76.7837808561,76.7837808561,0.370171,0.409993,True
39,35920,0.917164939686,72.1812382056,76.7837808561,0.361323,0.417201,False
40,36818,0.918228025652,69.2405160755,76.7837808561,0.358456,0.409864,False
41,37716,0.916653861797,69.378976466,76.7837808561,0.366303,0.403029,False
42,38614,0.915083136686,69.9998467628,76.7837808561,0.367892,0.420417,False
43,39512,0.917523206663,65.2613723957,76.7837808561,0.36058,0.404037,False
44,40410,0.917249342928,67.9079713919,76.7837808561,0.361851,0.39962,False
45,41308,0.91780830479,67.1441306681,76.7837808561,0.37033,0.405371,False
46,42206,0.915777815052,66.2859854474,76.7837808561,0.362615,0.402149,False
47,43104,0.918869198885,74.1924802907,76.7837808561,0.361212,0.402248,False
48,44002,0.917188038992,69.2572503786,76.7837808561,0.364549,0.398821,False
49,44900,0.919112513098,76.5350308945,76.7837808561,0.359082,0.396194,False
