model,roc_auc,inv_fpr
11-57-28,0.923112728184,100.332627431
11-57-57,0.922103106117,103.987846718
11-58-27,0.92082953783,97.8917896166
11-58-57,0.924483766249,108.105928335
11-27-45_0,0.920008138436,90.6796429121
11-28-14_0,0.917393242279,75.9345897872
11-28-44_0,0.920800287333,78.3183275712
11-29-15_0,0.921864721368,88.6018434341
19-05-29_0,0.917124885185,78.1398485912
19-05-40_0,0.920164102803,85.7496187337
19-09-21_0,0.920651743269,82.2105366662
19-09-27_0,0.915559831123,67.4100968463
15-09-43_0,0.920410617919,91.2092936393
15-09-23_0,0.918900916097,88.7149343665
15-09-33_0,0.921420100005,93.3954338891
15-36-41_0,0.914583869991,69.9874361397
15-10-15_0,0.921157656008,84.1599312986
15-10-24_0,0.91364602867,64.2889042347
22-09-49_0,0.919434030318,85.2018304318
21-15-17_0,0.918659599207,86.5933091608
21-15-32_0,0.920902280142,96.4709806161
21-14-17_0,0.914360402191,67.8294304847
21-14-31_0,0.919280002167,87.9277895171
21-18-29_0,0.920086067703,82.9565582504
15-28-01_0,0.914186838223,71.747741787
15-27-38_0,0.91167450224,64.9848619409
15-27-30_0,0.922064829425,97.4715808906
15-27-46_0,0.920742439448,91.6343114042
09-59-20_0,0.916634706126,84.5235513298
15-08-52_0,0.921737283433,90.6900704203
15-36-52_0,0.921971135595,89.7449282454
Oct-30-14-28-41_0,0.92001842993,83.3487885405
Oct-30-14-28-53_0,0.919588328697,86.1030751898
