epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.855550446953,15.9271301633,15.9271301633,0.475016,0.544814,True
1,1796,0.883746634824,26.3361177522,26.3361177522,0.45667,0.496352,True
2,2694,0.894198308217,30.267919898,30.267919898,0.418718,0.477664,True
3,3592,0.88419111797,24.7168429339,30.267919898,0.428955,0.484327,False
4,4490,0.899733914311,34.6909214669,34.6909214669,0.425288,0.457294,True
5,5388,0.898539229686,32.2350238142,34.6909214669,0.404501,0.452158,False
6,6286,0.900246579683,38.9738614712,38.9738614712,0.41413,0.448272,True
7,7184,0.907124540438,42.6916959797,42.6916959797,0.400447,0.450125,True
8,8082,0.909296452212,45.4671871565,45.4671871565,0.408297,0.458066,True
9,8980,0.896222415929,29.397039646,45.4671871565,0.407438,0.4518,False
10,9878,0.908303142724,40.1528444743,45.4671871565,0.383839,0.431047,False
11,10776,0.912447802172,48.8683931132,48.8683931132,0.378702,0.424786,True
12,11674,0.911836040723,45.4076060285,48.8683931132,0.374889,0.421946,False
13,12572,0.914717280922,54.715698997,54.715698997,0.370222,0.419741,True
14,13470,0.906513491675,44.5062773239,54.715698997,0.412875,0.438304,False
15,14368,0.914009453782,52.0619998143,54.715698997,0.375997,0.419438,False
16,15266,0.914902418053,57.5786891447,57.5786891447,0.364562,0.418975,True
17,16164,0.91424761852,51.7551235889,57.5786891447,0.379757,0.416031,False
18,17062,0.915578603682,55.8872524588,57.5786891447,0.367064,0.422282,False
19,17960,0.913623871449,58.7593488129,58.7593488129,0.391541,0.427214,True
20,18858,0.911140490425,40.4623270395,58.7593488129,0.37511,0.419751,False
21,19756,0.915704747169,53.7475133348,58.7593488129,0.362725,0.419541,False
22,20654,0.914474826613,61.8817646616,61.8817646616,0.374299,0.419657,True
23,21552,0.91518372028,65.2283465785,65.2283465785,0.368528,0.409613,True
24,22450,0.914846654846,54.8843650804,65.2283465785,0.372363,0.411363,False
25,23348,0.917356700017,59.7968026614,65.2283465785,0.360669,0.415153,False
26,24246,0.915297461853,54.3759820647,65.2283465785,0.374199,0.410231,False
27,25144,0.915374438687,63.6960589206,65.2283465785,0.375941,0.410268,False
28,26042,0.914987552684,50.4328140309,65.2283465785,0.367158,0.408056,False
29,26940,0.91686428087,65.5816232243,65.5816232243,0.360169,0.404473,True
30,27838,0.917048678252,66.8386039219,66.8386039219,0.366254,0.40568,True
31,28736,0.915647692042,67.089846772,67.089846772,0.392907,0.420463,True
32,29634,0.916326630154,62.3799648582,67.089846772,0.365827,0.404908,False
33,30532,0.916002040337,66.0600009343,67.089846772,0.376598,0.411707,False
34,31430,0.916023042283,58.4922868342,67.089846772,0.36191,0.409645,False
35,32328,0.918812263707,60.9629125532,67.089846772,0.358646,0.403638,False
36,33226,0.917104850606,61.933744887,67.089846772,0.361698,0.406538,False
37,34124,0.915857281952,58.8749648112,67.089846772,0.36212,0.405027,False
38,35022,0.919442841944,73.778544604,73.778544604,0.354455,0.400533,True
39,35920,0.916851975383,65.0490594807,73.778544604,0.35918,0.406162,False
40,36818,0.914627515896,54.731440133,73.778544604,0.366571,0.407007,False
41,37716,0.91864905159,81.3581777914,81.3581777914,0.359501,0.406724,True
42,38614,0.914275726316,51.8043141323,81.3581777914,0.365711,0.410048,False
43,39512,0.916884922723,63.3409614199,81.3581777914,0.361474,0.412739,False
44,40410,0.913701105188,46.8512850645,81.3581777914,0.368945,0.416763,False
45,41308,0.916797704037,65.5403736037,81.3581777914,0.359803,0.402873,False
46,42206,0.91877946753,78.5011129835,81.3581777914,0.354817,0.399645,False
47,43104,0.917626016726,78.4146901992,81.3581777914,0.360011,0.4009,False
48,44002,0.914473870414,60.6114436941,81.3581777914,0.392084,0.42498,False
49,44900,0.913397539328,56.5876378239,81.3581777914,0.367175,0.407098,False
