model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
12-19-49_0,49,44900,0.921715289419,81.0128939612,97.0230595841,0.350202,0.384564,False
14-49-53_1,19,17960,0.921151251389,73.2831771662,83.1626408351,0.350704,0.383307,False
14-52-08_2,19,17960,0.922654403211,93.3247745611,97.1046910171,0.346679,0.386533,False
14-52-08_4,19,17960,0.922228437262,79.5188643239,93.0150906911,0.348041,0.381428,False
14-52-09_3,19,17960,0.921698652251,92.5564945033,105.022730948,0.349355,0.381496,False
15-41-40_0,49,44900,0.922620063785,89.3850951876,94.8906120876,0.350943,0.383151,False
15-41-49_0,49,44900,0.919812279309,83.6594654682,106.595007747,0.353521,0.386601,False
15-44-43_0,49,44900,0.92008325957,65.4265192289,107.65495934,0.352635,0.384782,False
15-44-53_0,49,44900,0.919241712674,65.0688304219,89.9393230587,0.354917,0.387897,False
15-45-01_0,49,89800,0.921083641734,89.8497844287,94.8676166488,0.34965,0.371261,False
15-45-13_0,49,89800,0.921069108402,80.0585806972,88.7780575244,0.357366,0.378218,False
15-50-50_5,19,17960,0.921862132268,72.0618240361,89.4765010052,0.348095,0.383961,False
15-54-31_6,19,17960,0.922490597685,95.1526700212,97.7250913274,0.346878,0.382491,False
16-01-32_0,49,44900,0.922189487447,85.2643988929,108.791122096,0.347848,0.382096,False
16-01-59_0,49,44900,0.922320141719,109.166378451,109.166378451,0.346956,0.379408,True
16-02-29_0,49,44900,0.920664614894,81.1230520925,104.927727083,0.352359,0.385753,False
16-02-30_7,19,17960,0.922990632576,105.032628317,106.991411176,0.346118,0.38076,False
16-02-59_0,49,44900,0.921863327963,85.6446630232,94.7264822455,0.351501,0.384606,False
16-07-11_8,19,17960,0.923119037613,78.7186260456,91.2117334723,0.34592,0.38051,False
16-10-51_9,19,17960,0.921458751523,88.3230544488,98.280643777,0.349724,0.384122,False
16-13-39_10,19,17960,0.923104144784,89.6564607625,96.377893491,0.346933,0.384163,False
18-58-31_0,49,44900,0.922794378456,94.2806350681,109.953648352,0.346703,0.38001,False
18-58-55_0,49,44900,0.921859506373,79.1520758349,108.213610288,0.350129,0.383969,False
18-59-25_0,49,44900,0.921094915624,87.3401819809,113.113502095,0.348585,0.383511,False
18-59-55_0,49,44900,0.922272198588,87.9886786243,107.852571743,0.346416,0.384529,False
19-17-13_0,49,44900,0.921064466348,91.0626011461,109.340422981,0.356438,0.383208,False
19-17-38_0,49,44900,0.920868371016,84.8624276487,111.735564833,0.350061,0.38691,False
19-18-09_0,49,44900,0.921225855057,85.1273621157,88.6777266114,0.348777,0.38259,False
19-18-39_0,49,44900,0.920634980542,76.9058842084,92.8264926961,0.361725,0.395711,False
21-16-13_0,49,44900,0.920958700035,82.1827221987,100.950724892,0.34989,0.383602,False
21-16-31_0,49,44900,0.921294878728,96.1242395313,101.071057957,0.354602,0.381646,False
model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
12-19-49_0,49,44900,0.921715289419,81.0128939612,97.0230595841,0.350202,0.384564,False
14-49-53_1,19,17960,0.921151251389,73.2831771662,83.1626408351,0.350704,0.383307,False
14-52-08_2,19,17960,0.922654403211,93.3247745611,97.1046910171,0.346679,0.386533,False
14-52-08_4,19,17960,0.922228437262,79.5188643239,93.0150906911,0.348041,0.381428,False
14-52-09_3,19,17960,0.921698652251,92.5564945033,105.022730948,0.349355,0.381496,False
15-41-40_0,49,44900,0.922620063785,89.3850951876,94.8906120876,0.350943,0.383151,False
15-41-49_0,49,44900,0.919812279309,83.6594654682,106.595007747,0.353521,0.386601,False
15-44-43_0,49,44900,0.92008325957,65.4265192289,107.65495934,0.352635,0.384782,False
15-44-53_0,49,44900,0.919241712674,65.0688304219,89.9393230587,0.354917,0.387897,False
15-45-01_0,49,89800,0.921083641734,89.8497844287,94.8676166488,0.34965,0.371261,False
15-45-13_0,49,89800,0.921069108402,80.0585806972,88.7780575244,0.357366,0.378218,False
15-50-50_5,19,17960,0.921862132268,72.0618240361,89.4765010052,0.348095,0.383961,False
15-54-31_6,19,17960,0.922490597685,95.1526700212,97.7250913274,0.346878,0.382491,False
16-01-32_0,49,44900,0.922189487447,85.2643988929,108.791122096,0.347848,0.382096,False
16-01-59_0,49,44900,0.922320141719,109.166378451,109.166378451,0.346956,0.379408,True
16-02-29_0,49,44900,0.920664614894,81.1230520925,104.927727083,0.352359,0.385753,False
16-02-30_7,19,17960,0.922990632576,105.032628317,106.991411176,0.346118,0.38076,False
16-02-59_0,49,44900,0.921863327963,85.6446630232,94.7264822455,0.351501,0.384606,False
16-07-11_8,19,17960,0.923119037613,78.7186260456,91.2117334723,0.34592,0.38051,False
16-10-51_9,19,17960,0.921458751523,88.3230544488,98.280643777,0.349724,0.384122,False
