roc_auc,inv_fpr,best_inv_fpr,roc_auc_at_best_inv_fpr,valid_loss,train_loss,lr,grad_norm,param_norm,update_ratio,epoch,iteration,logtime,hours,time,save
0.923554684282,66.8600913458,81.3017192228,0.923236109669,0.365947,0.412963,0.000343,1.0,28.1378,0.00154576,31.0,22496.0,0.0,1.467229549884796,87788.1,False
0.923106202412,75.5601214946,81.3017192228,0.923236109669,0.359458,0.413206,0.000343,1.0,28.0293,0.000881486,32.0,23199.0,0.0,1.5123851444986132,93232.6,False
0.925100396115,80.6165391805,81.3017192228,0.923236109669,0.355016,0.410539,0.0002401,1.0,27.9842,0.00053567,33.0,23902.0,0.0,1.5574709871080186,98839.5,False
0.923606865942,69.2443095615,81.3017192228,0.923236109669,0.356372,0.410047,0.0002401,1.0,27.9756,0.000587661,34.0,24605.0,0.0,1.6025658675034842,104609.0,False
0.92283916196,67.0178395428,81.3017192228,0.923236109669,0.360501,0.410334,0.0002401,1.0,27.8889,0.000738257,35.0,25308.0,0.0,1.6476947704950968,110540.0,False
0.924512684078,72.1897945285,81.3017192228,0.923236109669,0.359955,0.408735,0.0002401,1.0,27.9476,0.000950005,36.0,26011.0,0.0,1.6928154524829653,116635.0,False
0.923198403046,72.2930181124,81.3017192228,0.923236109669,0.364072,0.407926,0.0002401,1.0,27.871,0.000549011,37.0,26714.0,0.0,1.7379752539926105,122891.0,False
0.926329192904,81.0929638278,81.3017192228,0.923236109669,0.35588,0.406939,0.0002401,1.0,27.8432,0.000528472,38.0,27417.0,0.0,1.7831602861483893,129311.0,False
0.92393308132,66.8907582145,81.3017192228,0.923236109669,0.35788,0.409293,0.0002401,1.0,27.8341,0.00103727,39.0,28120.0,0.0,1.8282692735062704,135892.0,False
0.92430071954,71.4581219441,81.3017192228,0.923236109669,0.355144,0.407853,0.0002401,1.0,27.8103,0.000630545,40.0,28823.0,0.0,1.8839469935496649,142675.0,False
0.924989259633,77.8375679884,81.3017192228,0.923236109669,0.355626,0.405556,0.00016807,1.0,27.7804,0.000675036,41.0,29526.0,0.0,1.929009478886922,149619.0,False
0.925285066077,83.7810744346,83.7810744346,0.925285066077,0.354106,0.405091,0.00016807,1.0,27.7897,0.000886148,42.0,30229.0,0.0,1.974079576532046,156726.0,True
0.925303447804,82.131318618,83.7810744346,0.925285066077,0.355464,0.404594,0.00016807,1.0,27.7668,0.000907638,43.0,30932.0,0.0,2.0191977032025656,163995.0,False
0.925101437759,77.5561441349,83.7810744346,0.925285066077,0.359756,0.40455,0.00016807,1.0,27.7586,0.00051749,44.0,31635.0,0.0,2.0641577067640093,171426.0,False
0.925919886211,85.2687907295,85.2687907295,0.925919886211,0.353554,0.404616,0.00016807,1.0,27.7609,0.000687667,45.0,32338.0,0.0,2.1091455956962375,179019.0,True
0.925587358053,78.6153697174,85.2687907295,0.925919886211,0.354993,0.40418,0.00016807,1.0,27.757,0.000925132,46.0,33041.0,0.0,2.154153217540847,186774.0,False
0.92529215465,79.5553813987,85.2687907295,0.925919886211,0.353303,0.404043,0.00016807,1.0,27.7395,0.00108706,47.0,33744.0,0.0,2.199099652700954,194691.0,False
0.925613603197,84.3172292746,85.2687907295,0.925919886211,0.358527,0.404941,0.00016807,1.0,27.712,0.000761159,48.0,34447.0,0.0,2.244112796187401,202769.0,False
0.925465703895,80.3945987627,85.2687907295,0.925919886211,0.352502,0.402476,0.000117649,1.0,27.7158,0.000410648,49.0,35150.0,0.0,2.2891227688392,211010.0,False
0.925166483291,69.0863115165,85.2687907295,0.925919886211,0.355267,0.402134,0.000117649,1.0,27.7064,0.000413728,50.0,35853.0,0.0,2.3341888915830187,219413.0,False
0.925361087013,93.6538176483,93.6538176483,0.925361087013,0.353011,0.402203,0.000117649,1.0,27.7069,0.000442735,51.0,36556.0,0.0,2.3792432891660265,227979.0,True
0.925274287618,88.9686000721,93.6538176483,0.925361087013,0.362904,0.401291,0.000117649,1.0,27.7171,0.000432091,52.0,37259.0,0.0,2.4243364542722703,236706.0,False
0.925934060487,88.415812602,93.6538176483,0.925361087013,0.35439,0.401298,0.000117649,1.0,27.7127,0.00059517,53.0,37962.0,0.0,2.4693851553731494,245596.0,False
0.92562176072,83.4806982777,93.6538176483,0.925361087013,0.35398,0.400788,0.000117649,1.0,27.7073,0.000635465,54.0,38665.0,0.0,2.514496596124437,254648.0,False
0.925613603407,86.3294566609,93.6538176483,0.925361087013,0.351678,0.401113,0.000117649,1.0,27.6945,0.000316563,55.0,39368.0,0.0,2.5595831613408193,263863.0,False
0.926265070703,87.642091585,93.6538176483,0.925361087013,0.353015,0.400841,0.000117649,1.0,27.7089,0.000787481,56.0,40071.0,0.0,2.604675649139616,273239.0,False
0.926604074567,102.091189476,102.091189476,0.926604074567,0.353585,0.398309,8.23543e-05,1.0,27.7156,0.000246073,57.0,40774.0,0.0,2.6497572765085433,282779.0,True
0.925065309524,74.0561946232,102.091189476,0.926604074567,0.361935,0.398691,8.23543e-05,1.0,27.7286,0.000256256,58.0,41477.0,0.0,2.6948610802491504,292480.0,False
0.925736252213,83.7324011842,102.091189476,0.926604074567,0.359378,0.39843,8.23543e-05,0.998148,27.7289,0.000554181,59.0,42180.0,0.0,2.7399946563111413,302344.0,False
0.925630768952,85.2661897081,102.091189476,0.926604074567,0.359038,0.39827,8.23543e-05,1.0,27.7192,0.000300464,60.0,42883.0,0.0,2.7956541891230478,312408.0,False
0.92589427888,77.0233446742,102.091189476,0.926604074567,0.3564,0.398517,8.23543e-05,1.0,27.7067,0.000226877,61.0,43586.0,0.0,2.840751554767291,322635.0,False
0.926092583018,79.4831594978,102.091189476,0.926604074567,0.354187,0.398187,8.23543e-05,1.0,27.7042,0.00034737,62.0,44289.0,0.0,2.8858367221222982,333024.0,False
0.925786029319,83.7324011842,102.091189476,0.926604074567,0.360231,0.398047,8.23543e-05,1.0,27.7019,0.000262393,63.0,44992.0,0.0,2.930932785934872,343576.0,False
0.92576231927,69.7952274309,102.091189476,0.926604074567,0.359524,0.397638,8.23543e-05,0.999999,27.7202,0.000372076,64.0,45695.0,0.0,2.9760379707813263,354289.0,False
0.926252702188,83.9102205994,102.091189476,0.926604074567,0.355501,0.396483,5.7648e-05,1.0,27.7038,0.000199341,65.0,46398.0,0.0,3.0211277781592476,365165.0,False
0.926234041601,80.1673431893,102.091189476,0.926604074567,0.358495,0.396144,5.7648e-05,0.612356,27.7105,0.000306912,66.0,47101.0,0.0,3.066270744668113,376204.0,False
0.925695882766,79.049502358,102.091189476,0.926604074567,0.359106,0.396282,5.7648e-05,1.0,27.7105,0.00020277,67.0,47804.0,0.0,3.1114226384295356,387405.0,False
0.926190439757,77.0233446742,102.091189476,0.926604074567,0.357488,0.396563,5.7648e-05,0.999999,27.6955,0.000237682,68.0,48507.0,0.0,3.1566317667563757,398769.0,False
0.926839603884,79.831769543,102.091189476,0.926604074567,0.356365,0.395756,5.7648e-05,1.0,27.6909,0.000232009,69.0,49210.0,0.0,3.2017917627096177,410295.0,False
0.926283886491,84.1020928792,102.091189476,0.926604074567,0.356613,0.395677,5.7648e-05,1.0,27.7,0.000166156,70.0,49913.0,0.0,3.246992728975084,421984.0,False
0.926494752201,82.9475463782,102.091189476,0.926604074567,0.355404,0.395588,5.7648e-05,1.0,27.6904,0.000259856,71.0,50616.0,0.0,3.292037869559394,433836.0,False
0.926316911665,84.525348442,102.091189476,0.926604074567,0.356544,0.395831,5.7648e-05,1.0,27.6962,0.00015795,72.0,51319.0,0.0,3.3370769417285917,445849.0,False
0.925976619976,67.9397955862,102.091189476,0.926604074567,0.360523,0.394357,4.03536e-05,1.0,27.6963,0.00012243,73.0,52022.0,0.0,3.3821958707438573,458025.0,False
0.92675779928,73.973486779,102.091189476,0.926604074567,0.355758,0.394823,4.03536e-05,0.999999,27.7007,0.000193239,74.0,52725.0,0.0,3.427285854683982,470363.0,False
0.926470801786,73.973486779,102.091189476,0.926604074567,0.356335,0.394967,4.03536e-05,0.999999,27.6914,0.000207193,75.0,53428.0,0.0,3.4724276930093767,482864.0,False
0.925534268555,73.6391779449,102.091189476,0.926604074567,0.361901,0.394895,4.03536e-05,1.0,27.6926,0.000135666,76.0,54131.0,0.0,3.5175967348946466,495528.0,False
0.926469993654,71.0450985707,102.091189476,0.926604074567,0.357571,0.394377,4.03536e-05,0.933172,27.6878,0.000222049,77.0,54834.0,0.0,3.5627473694086076,508353.0,False
0.926282968127,71.6346849024,102.091189476,0.926604074567,0.360243,0.394348,4.03536e-05,0.999999,27.6894,0.000139794,78.0,55537.0,0.0,3.6078788808319304,521342.0,False
0.926599909872,73.2369962141,102.091189476,0.926604074567,0.358175,0.39389,4.03536e-05,1.0,27.6807,0.000125822,79.0,56240.0,0.0,3.653049869404899,534493.0,False
0.92644868452,83.2081466162,102.091189476,0.926604074567,0.354849,0.39397,4.03536e-05,1.0,27.678,0.000120373,80.0,56943.0,0.0,3.708671852350235,547844.0,False
0.926156867474,70.8465766052,102.091189476,0.926604074567,0.358011,0.393152,2.82475e-05,0.999999,27.6801,0.000106751,81.0,57646.0,0.0,3.7538424249490103,561358.0,False
0.926726200411,80.7812740994,102.091189476,0.926604074567,0.35501,0.393373,2.82475e-05,1.0,27.6794,0.000114175,82.0,58349.0,0.0,3.7988809443182414,575034.0,False
