model,roc_auc,inv_fpr
23-38-02_0,0.916411354518,76.1420644814
23-40-42_0,0.915107892685,76.6186416789
23-40-51_0,0.919071043225,82.4954941077
23-40-59_0,0.916502723839,70.1618127554
23-41-07_0,0.918250545565,81.9352666458
17-58-33_2,0.917922462424,79.493012015
17-58-34_1,0.909160050422,58.1503929566
17-58-34_3,0.918745516715,86.4737597928
17-58-55_4,0.917343798079,74.310271106
17-59-56_5,0.917827174909,82.4951921731
18-02-08_6,0.917297336555,77.7782927762
18-13-08_7,0.916055904053,67.2411891253
18-16-56_10,0.915638538339,70.8016016921
18-16-56_8,0.915501785416,67.8676901672
18-16-56_9,0.915388268294,76.4206495421
09-57-18_1,0.913657045273,70.1187443826
11-05-14_2,0.918516078449,73.0616887658
13-20-24_3,0.917184464844,74.020081526
13-20-24_5,0.914800300038,73.6611371301
13-20-34_4,0.918974691211,83.9698332672
13-20-35_6,0.918609913689,78.0084941864
13-26-25_7,0.916280724986,72.7454995992
16-00-43_8,0.915989700743,69.8733815196
16-02-11_9,0.909239228103,69.3852460751
16-03-19_10,0.916496265692,78.1523426861
16-03-19_11,0.908685285254,64.8611757379
16-03-20_12,0.914414318528,60.824529063
23-38-12_0,0.916529994391,78.9424618786
Oct-30-14-45-15_0,0.912791717617,66.1877386604
Oct-30-14-44-09_0,0.916972382258,75.0585438129
Oct-30-14-43-56_0,0.919383805277,78.0734024267
