time,train_loss,protein_metrics_collection,iteration,hours,valid_loss,epoch,best_valid_loss,lr,save
107.32279,0.13248661,,31.0,0.029811887012587652,0.13253999,1.0,0.13253999,0.01,True
211.5674,0.13248728,,61.0,0.02895683487256368,0.13253684,2.0,0.13253684,0.01,True
316.7286,0.1324826,,91.0,0.029211445450782775,0.13253874,3.0,0.13253684,0.01,False
421.66068,0.13248508,,121.0,0.029147794644037883,0.13253994,4.0,0.13253684,0.01,False
526.26404,0.13248226,,151.0,0.02905648880534702,0.13231215,5.0,0.13231215,0.01,True
632.34314,0.13245125,,181.0,0.02946641226609548,0.13253999,6.0,0.13231215,0.01,False
737.4489,0.13248739,,211.0,0.029196044603983562,0.13253999,7.0,0.13231215,0.01,False
843.2832,0.13248739,,241.0,0.029398427738083734,0.13253999,8.0,0.13231215,0.01,False
948.938,0.1324874,,271.0,0.029348558651076422,0.13253999,9.0,0.13231215,0.01,False
1055.7678,0.1324874,,301.0,0.029674969911575318,0.13254,10.0,0.13231215,0.01,False
1162.0822,0.1324874,,331.0,0.029531747036510042,0.13253999,11.0,0.13231215,0.01,False
1267.3435,0.13248739,,361.0,0.02923927062087589,0.13253999,12.0,0.13231215,0.01,False
1373.7631,0.13248739,,391.0,0.029561002850532533,0.13253999,13.0,0.13231215,0.01,False
1478.8505,0.13248739,,421.0,0.029190931055280898,0.13253999,14.0,0.13231215,0.01,False
1584.7515,0.13248739,,451.0,0.02941692928473155,0.13253999,15.0,0.13231215,0.01,False
1689.8491,0.13248739,,481.0,0.029193750421206158,0.13253999,16.0,0.13231215,0.01,False
1795.853,0.13248739,,511.0,0.02944552183151245,0.13253999,17.0,0.13231215,0.007,False
1900.3326,0.13248739,,541.0,0.029022102223502266,0.13253999,18.0,0.13231215,0.007,False
2005.1718,0.13248739,,571.0,0.02912196848127577,0.13253999,19.0,0.13231215,0.007,False
2111.738,0.13248739,,601.0,0.029601776401201884,0.13253999,20.0,0.13231215,0.007,False
2216.1116,0.13248739,,631.0,0.02899268004629347,0.13253999,21.0,0.13231215,0.007,False
2321.255,0.13248739,,661.0,0.02920650601387024,0.13253999,22.0,0.13231215,0.007,False
2425.6602,0.13248739,,691.0,0.02900148722860548,0.13253999,23.0,0.13231215,0.007,False
2531.2734,0.13248739,,721.0,0.029336955812242296,0.13253999,24.0,0.13231215,0.007,False
2636.9102,0.13248739,,751.0,0.02934355060259501,0.13253999,25.0,0.13231215,0.007,False
2743.2302,0.13248739,,781.0,0.029533383117781746,0.13253999,26.0,0.13231215,0.007,False
2847.53,0.13248739,,811.0,0.028972198367118836,0.13253999,27.0,0.13231215,0.007,False
2953.3992,0.13248739,,841.0,0.029408062630229527,0.13253999,28.0,0.13231215,0.007,False
3058.7676,0.13248739,,871.0,0.029269019961357116,0.13253999,29.0,0.13231215,0.007,False
3165.3882,0.13248739,,901.0,0.029616812268892925,0.13253999,30.0,0.13231215,0.007,False
3272.5881,0.13248739,,931.0,0.029777789844406977,0.13253999,31.0,0.13231215,0.007,False
3378.8816,0.13248739,,961.0,0.02952587260140313,0.13253999,32.0,0.13231215,0.007,False
3486.7908,0.13248739,,991.0,0.029974804123242695,0.13253999,33.0,0.13231215,0.0049,False
3594.0796,0.13248739,,1021.0,0.029802445305718316,0.13253999,34.0,0.13231215,0.0049,False
3700.9158,0.13248739,,1051.0,0.029676749772495695,0.13253999,35.0,0.13231215,0.0049,False
3807.4197,0.13248739,,1081.0,0.029584438403447468,0.13253999,36.0,0.13231215,0.0049,False
3914.6104,0.13248739,,1111.0,0.029775210751427545,0.13253999,37.0,0.13231215,0.0049,False
4021.4019,0.13248739,,1141.0,0.029664335250854493,0.13253999,38.0,0.13231215,0.0049,False
4127.753,0.13248739,,1171.0,0.02954194512632158,0.13253999,39.0,0.13231215,0.0049,False
4235.8774,0.13248739,,1201.0,0.03003440346982744,0.13253999,40.0,0.13231215,0.0049,False
4343.2188,0.13248739,,1231.0,0.029817094405492146,0.13253999,41.0,0.13231215,0.0049,False
4448.4697,0.13248739,,1261.0,0.029236344695091246,0.13253999,42.0,0.13231215,0.0049,False
4555.342,0.13248739,,1291.0,0.029686642090479533,0.13253999,43.0,0.13231215,0.0049,False
4661.5977,0.13248739,,1321.0,0.029515578150749205,0.13253999,44.0,0.13231215,0.0049,False
4767.298,0.13248739,,1351.0,0.02936118549770779,0.13253999,45.0,0.13231215,0.0049,False
4874.013,0.13248739,,1381.0,0.029643145733409457,0.13253999,46.0,0.13231215,0.0049,False
4981.0947,0.13248739,,1411.0,0.029744914372762044,0.13253999,47.0,0.13231215,0.0049,False
5086.7607,0.13248739,,1441.0,0.029351723392804462,0.13253999,48.0,0.13231215,0.0049,False
5193.7104,0.13248739,,1471.0,0.029708284205860563,0.13253999,49.0,0.13231215,0.00343,False
5300.6133,0.13248739,,1501.0,0.029695170058144465,0.13253999,50.0,0.13231215,0.00343,False
5407.7056,0.13248739,,1531.0,0.029747889637947084,0.13253999,51.0,0.13231215,0.00343,False
5514.9365,0.13248739,,1561.0,0.029786431458261278,0.13253999,52.0,0.13231215,0.00343,False
