model,roc_auc,inv_fpr
18-21-08_4,0.918628735083,79.8047444817
02-01-36_1,0.918541483636,76.5170791383
02-01-46_2,0.915525497429,78.4716032167
02-03-37_3,0.917572414073,73.2704666518
02-07-37_4,0.917398150773,75.0136196044
02-12-37_5,0.91597606192,71.5640966292
02-13-37_6,0.917302947843,71.3240762548
02-15-37_7,0.916236731853,76.0398879097
02-21-37_8,0.916659416259,70.0870127682
03-09-37_9,0.916214025011,70.7772660661
03-26-40_10,0.917922365779,73.3404502943
18-16-56_1,0.912462573972,57.9322173633
18-16-56_2,0.917210699772,77.8926166603
18-17-56_3,0.915826930178,75.3518126821
18-26-08_5,0.916364882708,72.9091390095
18-38-08_6,0.915509289641,75.0755037326
22-24-24_8,0.919101187109,76.7422567857
22-24-24_9,0.917404305628,73.9714227358
22-24-35_7,0.918317696129,78.0228926678
22-44-24_10,0.917292487161,70.1648812438
10-01-37_0,0.918387615148,76.1304499921
10-01-50_0,0.914811529424,64.5586017102
10-01-56_0,0.917536212509,68.2936070797
21-20-40_0,0.917400792694,71.8525596913
21-20-53_0,0.916159756932,76.3231834463
21-21-00_0,0.918040779268,76.5311045747
21-21-09_0,0.916369353401,73.9268574837
Oct-30-14-45-53_0,0.917023337002,77.5514733659
Oct-30-14-42-43_0,0.91774637818,74.9266121364
Oct-30-14-42-58_0,0.917351019623,82.1670725681
