model,roc_auc,inv_fpr
16-15-31_1,0.92319886252,104.626206154
16-17-30_2,0.923419608823,96.8565495926
16-18-30_3,0.922190375496,98.8272293244
16-27-49_4,0.92382575568,107.32111705
16-33-37_5,0.92268111701,95.011568564
16-45-08_6,0.923039511043,96.0239346098
19-05-57_7,0.92114520958,99.5366827138
19-05-57_8,0.923250343866,106.285264268
23-38-21_9,0.922554174419,102.111299515
23-40-08_10,0.923452241386,98.8841538663
16-03-13_0,0.920528450583,86.5325779005
16-06-44_0,0.916275166571,74.9240538336
16-06-52_0,0.921453912993,96.6106638307
16-07-52_0,0.921096894916,93.8297250034
16-08-02_0,0.9086533757,64.4871946441
16-11-17_0,0.917200071316,79.6816156175
19-00-19_0,0.911909140219,66.9921517571
19-00-46_0,0.917280444754,77.72373854
19-01-16_0,0.913174585577,63.3916119916
19-01-47_0,0.907793885566,61.7482638913
19-02-06_0,0.914842194478,75.6670627398
19-02-37_0,0.921391401265,92.439458337
19-03-07_0,0.911300234154,63.2702883111
19-10-44_0,0.921018254177,87.5790855483
19-11-11_0,0.920937066064,83.4959550828
19-11-41_0,0.914477256349,67.971561356
19-12-11_0,0.920758787351,93.7344962383
22-00-57_0,0.920664468802,93.054258175
22-00-44_0,0.92155476906,91.8070564743
22-01-06_0,0.922138789694,103.39371668
