model,roc_auc,inv_fpr
21-25-29_0,0.918287018276,84.4705585707
21-25-59_0,0.921498623501,95.9814113897
21-26-29_0,0.919313768329,88.7683003595
21-26-59_0,0.920977906299,94.6416032839
15-43-15_0,0.919235933558,87.4479145182
15-43-39_0,0.920716499039,92.4171851733
15-43-51_0,0.919205379867,84.8805814549
19-25-47_0,0.918787456961,88.3895618299
15-30-49_0,0.920078291853,87.2377920797
15-30-41_0,0.921226699271,90.9728071377
15-31-00_0,0.920001954251,87.0797826055
15-30-30_0,0.917625700541,79.5006653148
15-35-31_0,0.919155306748,88.7212035877
15-33-20_0,0.917820889969,91.9949242424
15-33-07_0,0.918861645582,82.2204407603
15-35-55_0,0.920942073012,91.4247400973
15-26-17_0,0.921587805823,93.8721439147
15-17-12_0,0.921572756849,91.3829571485
15-16-55_0,0.920606529443,92.876896141
15-17-05_0,0.920290139195,86.3484010894
15-17-21_0,0.921103687955,94.3119076198
15-48-38_0,0.919603572428,76.3136552573
15-48-26_0,0.918479066369,88.4498144525
15-06-03_0,0.921049591408,89.7236030238
15-06-16_0,0.920032541934,91.6600437966
15-07-06_0,0.919638907037,83.4581617866
15-07-13_0,0.920223343745,87.6630364211
15-07-52_0,0.917135792077,76.5034069231
15-07-57_0,0.91839535809,86.7293291863
15-25-58_0,0.91513375835,64.2352493444
